"vereda_id","mun_id","anio","post","puntaje","puntaje_c","tratada","luminosidad","vel_descarga","vel_subida","latencia_ms","personas_conectadas","n_establecimientos","gasto_sustitutos","poblacion","hogares","ipm","dist_cabecera_km"
61,2,2024,0,62.126,0.273,1,1.212,12.5,4.5,77.1,53,3,68600,273,70,0.643,27.3
61,2,2026,1,62.126,0.273,1,1.728,18.3,9.8,46.5,69,5,49100,273,70,0.643,27.3
62,2,2024,0,49.008,-12.844,0,1.985,14,3.9,92.5,106,6,51000,343,86,0.476,20.5
62,2,2026,1,49.008,-12.844,0,2.504,15.2,5.4,70.3,121,5,44000,343,86,0.476,20.5
63,2,2024,0,62.625,0.773,1,3.358,11.4,3.8,100.6,108,9,49000,613,175,0.568,26.6
63,2,2026,1,62.625,0.773,1,4.484,17.4,8.6,83.4,222,12,35500,613,175,0.568,26.6
64,2,2024,0,25.41,-36.442,0,2.059,17.7,6,56.1,125,3,40400,318,99,0.408,11.1
64,2,2026,1,25.41,-36.442,0,2.367,23.4,6.6,61.1,105,3,40700,318,99,0.408,11.1
65,2,2024,0,49.682,-12.17,0,2.617,12.5,6.7,95.4,116,3,48500,328,96,0.471,23.7
65,2,2026,1,49.682,-12.17,0,3.573,11.4,7.2,75.7,99,10,43500,328,96,0.471,23.7
66,2,2024,0,82.317,20.464,1,0.823,9.6,1.3,95.3,117,5,77700,665,182,0.671,30.5
66,2,2026,1,82.317,20.464,1,1.225,20,7.1,79.6,178,10,52000,665,182,0.671,30.5
67,2,2024,0,34.587,-27.265,0,1.617,18.1,6.9,63.8,233,5,40900,597,153,0.412,14.9
67,2,2026,1,34.587,-27.265,0,3.196,18.3,6.1,62.6,247,12,41600,597,153,0.412,14.9
68,2,2024,0,78.364,16.512,1,1.195,7.8,1.9,104.5,64,3,59200,373,92,0.587,25.7
68,2,2026,1,78.364,16.512,1,2.234,19.6,5.9,76.4,96,6,52600,373,92,0.587,25.7
69,2,2024,0,64.726,2.873,1,2.028,11.2,5.5,85.5,86,2,64100,410,127,0.618,25.1
69,2,2026,1,64.726,2.873,1,2.32,22.4,7.9,70.4,152,8,42000,410,127,0.618,25.1
70,2,2024,0,42.095,-19.758,0,3.124,18.8,4.9,58.6,158,8,47000,457,140,0.449,21.8
70,2,2026,1,42.095,-19.758,0,3.039,15.7,5.9,55.1,237,7,42900,457,140,0.449,21.8
71,2,2024,0,64.775,2.923,1,1.801,14.1,6.2,77.6,178,18,58600,1198,333,0.646,30.3
71,2,2026,1,64.775,2.923,1,2.551,23.9,8.5,65.2,409,14,49000,1198,333,0.646,30.3
72,2,2024,0,70.388,8.536,1,1.716,12.4,2.3,104.3,82,10,72900,992,325,0.566,27.5
72,2,2026,1,70.388,8.536,1,2.158,21.1,6.9,66.2,164,18,58400,992,325,0.566,27.5
73,2,2024,0,50.381,-11.471,0,1.807,20,5.6,81.2,85,8,46300,456,118,0.474,18.9
73,2,2026,1,50.381,-11.471,0,2.62,20.1,6.7,77.8,100,5,44400,456,118,0.474,18.9
74,2,2024,0,61.253,-0.599,0,1.669,15.9,7.3,89.2,48,4,50100,296,70,0.572,24.3
74,2,2026,1,61.253,-0.599,0,2.127,15.6,5.7,89.6,49,6,44100,296,70,0.572,24.3
75,2,2024,0,81.336,19.483,1,1.43,6.7,2.4,103.1,146,8,68900,1098,299,0.693,39.2
75,2,2026,1,81.336,19.483,1,1.175,18.4,6.2,76.5,244,13,62700,1098,299,0.693,39.2
76,2,2024,0,54.412,-7.44,0,1.678,13,2.8,80.5,104,3,55700,285,78,0.491,20.3
76,2,2026,1,54.412,-7.44,0,2.212,13.5,3.9,69.2,104,2,47200,285,78,0.491,20.3
77,2,2024,0,63.218,1.366,1,2.178,15.2,5.1,95.3,172,10,57800,583,148,0.521,22.7
77,2,2026,1,63.218,1.366,1,3.28,21.8,9.9,75.1,259,14,45900,583,148,0.521,22.7
78,2,2024,0,57.976,-3.877,0,2.174,14.2,6.3,75.9,135,7,71500,375,97,0.524,27.2
78,2,2026,1,57.976,-3.877,0,2.005,18,4.8,66.2,117,3,56900,375,97,0.524,27.2
79,2,2024,0,69.708,7.855,1,1.337,7.7,4.8,91.8,181,10,53600,643,204,0.583,23.5
79,2,2026,1,69.708,7.855,1,2.931,19.8,7.2,58.5,271,8,46500,643,204,0.583,23.5
80,2,2024,0,95,33.148,1,0.429,7.3,0.2,114.3,36,1,72600,373,108,0.673,30.5
80,2,2026,1,95,33.148,1,0.728,19.9,3.5,97.5,56,6,64800,373,108,0.673,30.5
81,2,2024,0,57.543,-4.31,0,2.159,12.4,6.8,74.1,167,11,65200,553,139,0.538,19
81,2,2026,1,57.543,-4.31,0,2.348,15.5,5.2,73.7,157,10,58500,553,139,0.538,19
82,2,2024,0,50.484,-11.368,0,1.814,18.4,6.7,83.2,190,8,55900,706,173,0.465,17.7
82,2,2026,1,50.484,-11.368,0,1.597,20.4,8.1,77.1,165,12,45700,706,173,0.465,17.7
83,2,2024,0,54.213,-7.639,0,1.966,15.2,4.8,61.1,176,2,60500,558,160,0.494,27.7
83,2,2026,1,54.213,-7.639,0,2.507,19.6,4.9,66,152,10,60400,558,160,0.494,27.7
84,2,2024,0,75.089,13.236,1,1.286,8.8,4,95.6,68,3,65300,558,148,0.64,34.2
84,2,2026,1,75.089,13.236,1,1.929,17.4,7.8,74.3,227,7,38100,558,148,0.64,34.2
85,2,2024,0,44.557,-17.295,0,1.642,16.1,5.8,73.9,115,5,45100,283,77,0.35,20.2
85,2,2026,1,44.557,-17.295,0,1.868,19.3,6.5,53.2,88,6,47700,283,77,0.35,20.2
86,2,2024,0,62.186,0.334,1,1.87,16.5,3.4,67,163,11,60900,662,182,0.529,27
86,2,2026,1,62.186,0.334,1,2.413,28.3,6.9,55.9,303,12,49200,662,182,0.529,27
87,2,2024,0,63.014,1.162,1,2.776,12.2,8.1,77.4,23,0,66900,114,28,0.501,21.2
87,2,2026,1,63.014,1.162,1,2.613,20.6,11.4,60.3,43,3,40500,114,28,0.501,21.2
88,2,2024,0,53.98,-7.873,0,2.517,13.3,6.2,67.8,198,13,58200,750,218,0.526,20.2
88,2,2026,1,53.98,-7.873,0,2.071,16.8,6.5,62.4,253,15,50300,750,218,0.526,20.2
89,2,2024,0,36.661,-25.191,0,1.549,24.4,5.1,50.8,154,8,51400,477,130,0.435,15.6
89,2,2026,1,36.661,-25.191,0,3.205,19.1,7.5,41.2,201,10,37800,477,130,0.435,15.6
90,2,2024,0,54.944,-6.908,0,2.096,15.8,5.4,75.7,17,1,65600,111,32,0.538,34.1
90,2,2026,1,54.944,-6.908,0,2.616,14.7,5.1,66.2,28,3,63100,111,32,0.538,34.1
91,2,2024,0,57.772,-4.081,0,1.576,15.3,4.8,89.1,793,40,56000,2215,651,0.451,25
91,2,2026,1,57.772,-4.081,0,1.333,18.1,7.4,71.9,777,38,54400,2215,651,0.451,25
92,2,2024,0,43.617,-18.236,0,3.053,12.9,8.1,71.3,188,6,50700,502,138,0.504,22.5
92,2,2026,1,43.617,-18.236,0,2.28,11,8.7,64.1,213,8,49300,502,138,0.504,22.5
93,2,2024,0,56.693,-5.16,0,1.268,13.6,4.9,69.9,165,12,63400,734,179,0.496,24
93,2,2026,1,56.693,-5.16,0,1.125,16.8,6.5,61.1,241,14,50900,734,179,0.496,24
94,2,2024,0,58.977,-2.876,0,2.531,16,5.6,70.9,83,4,60400,436,112,0.488,21.1
94,2,2026,1,58.977,-2.876,0,1.875,15.3,6,70,103,5,50000,436,112,0.488,21.1
95,2,2024,0,49.342,-12.511,0,1.976,21.2,4.4,63.7,102,3,37900,210,57,0.465,43.1
95,2,2026,1,49.342,-12.511,0,3.012,19,6.1,67.6,95,1,43100,210,57,0.465,43.1
96,2,2024,0,69.81,7.958,1,1.858,11.6,4.4,74.9,90,7,57500,562,155,0.521,26.7
96,2,2026,1,69.81,7.958,1,2.582,22.6,8.8,60.3,181,9,47300,562,155,0.521,26.7
97,2,2024,0,57.018,-4.834,0,2.369,15.7,3,76.8,60,13,49100,492,135,0.581,21.5
97,2,2026,1,57.018,-4.834,0,3.279,14,4.7,76.1,98,6,53100,492,135,0.581,21.5
98,2,2024,0,47.378,-14.474,0,3.075,16,5.3,65.9,416,22,53500,1275,373,0.493,25.9
98,2,2026,1,47.378,-14.474,0,3.012,22.4,7.4,52.3,356,30,41800,1275,373,0.493,25.9
99,2,2024,0,47.333,-14.52,0,2.588,20.2,5.1,74.1,181,8,51600,657,205,0.524,19.6
99,2,2026,1,47.333,-14.52,0,2.059,18.2,5.5,66,259,12,46500,657,205,0.524,19.6
100,2,2024,0,58.575,-3.277,0,1.2,6.9,6.3,87,36,4,64800,129,34,0.516,20.5
100,2,2026,1,58.575,-3.277,0,1.961,14.6,6,70.6,43,3,61100,129,34,0.516,20.5
101,2,2024,0,68.138,6.286,1,1.987,9.7,5.9,78.5,51,4,68800,331,88,0.566,23.5
101,2,2026,1,68.138,6.286,1,2.597,22.8,8.4,58.1,136,3,59100,331,88,0.566,23.5
102,2,2024,0,61.579,-0.273,0,1.542,19.8,3.1,68.8,81,10,58200,373,111,0.52,27.3
102,2,2026,1,61.579,-0.273,0,1.37,22.1,4.3,62.9,95,2,50100,373,111,0.52,27.3
103,2,2024,0,54.85,-7.002,0,2.073,16.5,6.4,72.9,165,7,67200,678,196,0.587,19.6
103,2,2026,1,54.85,-7.002,0,2.033,17.5,6.9,67.2,191,11,60300,678,196,0.587,19.6
104,2,2024,0,49.247,-12.605,0,2.707,24.5,5.7,63.5,167,6,38300,491,152,0.403,23.8
104,2,2026,1,49.247,-12.605,0,2.955,26.3,7.9,71.5,157,7,48200,491,152,0.403,23.8
105,2,2024,0,48.839,-13.014,0,3.336,15.8,7.8,75.7,95,3,54400,334,92,0.506,27
105,2,2026,1,48.839,-13.014,0,4.544,20.5,7.2,54.7,125,7,54100,334,92,0.506,27
106,2,2024,0,71.514,9.661,1,1.094,8.4,4.1,89.1,19,3,70600,111,35,0.646,28.4
106,2,2026,1,71.514,9.661,1,1.444,18.7,8.4,69.7,41,2,44600,111,35,0.646,28.4
107,2,2024,0,67.241,5.389,1,1.431,12,5.1,85.6,107,9,73900,461,118,0.589,23.5
107,2,2026,1,67.241,5.389,1,2.605,22.7,7.8,66.3,156,9,50000,461,118,0.589,23.5
108,2,2024,0,58.83,-3.023,0,1.24,9.9,5.5,66.7,59,3,62800,357,103,0.576,23.8
108,2,2026,1,58.83,-3.023,0,1.256,13.7,5.1,72.6,82,3,54200,357,103,0.576,23.8
109,2,2024,0,45.928,-15.925,0,1.52,14.7,5.9,85.6,72,6,62700,243,69,0.484,18
109,2,2026,1,45.928,-15.925,0,3.062,20.4,5.3,69.9,74,7,46700,243,69,0.484,18
110,2,2024,0,76.082,14.229,1,0.872,8,2.6,98,30,1,66700,159,45,0.622,30.4
110,2,2026,1,76.082,14.229,1,1.426,21,8.4,76.1,40,3,49800,159,45,0.622,30.4
111,2,2024,0,52.33,-9.523,0,2.006,15,6,86.6,79,6,49200,257,63,0.359,34.4
111,2,2026,1,52.33,-9.523,0,2.638,20.4,6.9,85.3,97,6,52900,257,63,0.359,34.4
112,2,2024,0,50.755,-11.097,0,2.173,12.4,7.4,77.8,144,10,58700,484,135,0.445,24
112,2,2026,1,50.755,-11.097,0,2.013,14.8,8.5,63.7,155,8,46200,484,135,0.445,24
113,3,2024,0,47.172,-15.189,0,2.202,14.4,6.1,76.9,83,10,51200,512,127,0.447,20.1
113,3,2026,1,47.172,-15.189,0,3.542,19.1,5.5,68.6,90,6,50600,512,127,0.447,20.1
114,3,2024,0,84.27,21.909,1,0.435,8.6,2.1,111.1,35,3,82100,406,104,0.618,38
114,3,2026,1,84.27,21.909,1,0.958,16.6,4.7,77.9,67,5,77400,406,104,0.618,38
115,3,2024,0,50.001,-12.36,0,2.92,12.1,3.7,77.6,258,10,71000,679,185,0.435,25.3
115,3,2026,1,50.001,-12.36,0,4.188,17.3,5.4,76.7,254,18,54900,679,185,0.435,25.3
116,3,2024,0,57.528,-4.833,0,2.763,12.2,6.3,67.8,71,9,58900,372,106,0.564,23.2
116,3,2026,1,57.528,-4.833,0,2.485,15.1,5.6,65.4,101,4,62300,372,106,0.564,23.2
117,3,2024,0,29.283,-33.078,0,2.535,18.1,5.9,81.2,193,7,50300,553,164,0.378,13.8
117,3,2026,1,29.283,-33.078,0,3.055,21.5,7.5,65.5,174,11,37800,553,164,0.378,13.8
118,3,2024,0,43.004,-19.357,0,2.673,19.1,4.9,79.5,119,5,60300,283,97,0.399,21.8
118,3,2026,1,43.004,-19.357,0,3.502,16.2,5.6,68.6,146,3,53200,283,97,0.399,21.8
119,3,2024,0,59.399,-2.962,0,1.25,15.7,3,71.8,93,5,59400,355,104,0.668,27.2
119,3,2026,1,59.399,-2.962,0,1.795,17.5,5.5,79.5,93,5,59300,355,104,0.668,27.2
120,3,2024,0,47.289,-15.072,0,2.597,15.7,7,73.3,134,7,70400,448,121,0.332,17.2
120,3,2026,1,47.289,-15.072,0,2.992,17.4,7,79.9,140,3,63100,448,121,0.332,17.2
121,3,2024,0,55.417,-6.944,0,2.444,15.8,3.6,77.4,97,3,64100,275,77,0.546,23.2
121,3,2026,1,55.417,-6.944,0,2.664,16.2,4.1,63.9,120,4,66600,275,77,0.546,23.2
122,3,2024,0,79.558,17.197,1,0.858,9.9,2.5,106.5,54,4,86800,678,207,0.75,26.7
122,3,2026,1,79.558,17.197,1,1.962,14.1,5.8,97,158,9,77500,678,207,0.75,26.7
123,3,2024,0,52.924,-9.437,0,1.967,13.1,6.7,69.6,143,6,57000,546,143,0.437,19.4
123,3,2026,1,52.924,-9.437,0,3.422,15.8,5.8,77.3,162,6,65100,546,143,0.437,19.4
124,3,2024,0,58.651,-3.71,0,2.532,5.9,4.6,90.6,42,1,63200,292,79,0.535,29.9
124,3,2026,1,58.651,-3.71,0,3.751,14.9,5.4,92.8,37,2,54800,292,79,0.535,29.9
125,3,2024,0,60.533,-1.828,0,2.665,16.6,3.2,83.8,54,2,73300,299,79,0.554,29.8
125,3,2026,1,60.533,-1.828,0,1.91,11.5,5.7,73.2,64,7,76000,299,79,0.554,29.8
126,3,2024,0,59.003,-3.358,0,2.886,14.9,4,90.1,166,10,61400,532,149,0.516,21.6
126,3,2026,1,59.003,-3.358,0,2.23,13.5,4.1,77.1,172,6,76500,532,149,0.516,21.6
127,3,2024,0,59.919,-2.442,0,3.227,13.4,3.4,67.3,232,10,62300,672,197,0.577,23.9
127,3,2026,1,59.919,-2.442,0,2.38,13.7,3.4,69.1,299,8,61300,672,197,0.577,23.9
128,3,2024,0,36.474,-25.887,0,3.608,12.1,5.9,64.5,210,6,55100,407,124,0.375,18.4
