"persona_id","anio","comuna","pos_x_km","pos_y_km","satisfaccion_vida","ice","formal","cotiza_ss","horas_sem","ingreso_lab","edad","mujer","educ_anios","estrato","s_comercio","s_manufactura","s_construccion","s_alojamiento","s_transporte","s_serv_domestico","s_salud_educ","s_finanzas_prof","g_comercio","g_manufactura","g_construccion","g_alojamiento","g_transporte","g_serv_domestico","g_salud_educ","g_finanzas_prof"
19,2022,4,6.882,5.93,7,61.3,1,0,52,2430000,45,0,11,3,0.2211,0.0228,0.0497,0.1613,0.0943,0.0679,0.2471,0.1358,4.5,3.2,6,9,5,1,3.5,4
20,2022,16,3.937,12.389,6,47.2,0,0,53,630000,46,1,5,2,0.1118,0.726,0.0165,0.0258,0.0143,0.057,0.0144,0.0342,4.5,3.2,6,9,5,1,3.5,4
21,2022,17,7.853,4.552,8,42.1,1,1,35,1310000,32,1,8,2,0.421,0.0058,0.1764,0.0934,0.03,0.0297,0.0908,0.1529,4.5,3.2,6,9,5,1,3.5,4
22,2022,15,9.908,8.169,8,50.8,1,1,40,1310000,22,1,9,3,0.2006,0.0206,0.0408,0.0237,0.5202,0.0322,0.1313,0.0306,4.5,3.2,6,9,5,1,3.5,4
23,2022,22,2.33,13.542,8,49.9,0,0,49,1840000,42,0,8,1,0.2623,0.5444,0.0062,0.0447,0.0171,0.0553,0.0305,0.0395,4.5,3.2,6,9,5,1,3.5,4
24,2022,7,7.33,6.242,9,54.9,1,1,43,980000,21,0,9,3,0.1868,0.0141,0.1583,0.0808,0.0889,0.1038,0.1761,0.1912,4.5,3.2,6,9,5,1,3.5,4
25,2022,19,4.552,11.699,7,26.8,0,0,46,640000,39,0,3,2,0.1449,0.5727,0.0057,0.0492,0.0707,0.0906,0.0428,0.0234,4.5,3.2,6,9,5,1,3.5,4
26,2022,5,5.215,11.626,7,57.4,0,0,39,1120000,42,0,6,1,0.1399,0.3989,0.0199,0.1217,0.0905,0.0863,0.1097,0.0331,4.5,3.2,6,9,5,1,3.5,4
27,2022,15,3.243,6.075,7,61.4,0,0,46,1530000,44,0,9,3,0.3006,0.015,0.0384,0.1682,0.0359,0.2504,0.0967,0.0948,4.5,3.2,6,9,5,1,3.5,4
28,2022,17,7.271,6.632,6,53.2,1,1,36,850000,57,0,7,1,0.4124,0.02,0.0421,0.1324,0.1412,0.0471,0.062,0.1428,4.5,3.2,6,9,5,1,3.5,4
29,2022,3,8.771,11.291,8,47.6,0,0,43,1240000,45,1,6,2,0.3281,0.0843,0.0489,0.0516,0.1906,0.1184,0.116,0.0621,4.5,3.2,6,9,5,1,3.5,4
30,2022,1,3.176,8.728,8,62.9,1,1,49,890000,41,1,5,2,0.4828,0.0774,0.04,0.0769,0.0138,0.1544,0.1301,0.0246,4.5,3.2,6,9,5,1,3.5,4
31,2022,21,2.964,8.234,9,47.4,0,1,49,1410000,31,1,8,3,0.3884,0.0833,0.0285,0.0956,0.0141,0.1514,0.1213,0.1174,4.5,3.2,6,9,5,1,3.5,4
32,2022,18,1.912,14.8,8,58.1,0,1,38,810000,57,1,6,1,0.2276,0.5717,0.0089,0.0675,0.0246,0.0507,0.0251,0.0239,4.5,3.2,6,9,5,1,3.5,4
33,2022,16,6.721,12.279,8,46.7,0,1,42,530000,45,1,6,1,0.1403,0.5275,0.0128,0.0879,0.0337,0.0735,0.079,0.0453,4.5,3.2,6,9,5,1,3.5,4
34,2022,14,5.125,12.073,9,63.2,1,1,46,860000,42,1,7,2,0.2256,0.3889,0.0103,0.1786,0.0368,0.0759,0.0562,0.0277,4.5,3.2,6,9,5,1,3.5,4
35,2022,6,0.809,9.878,9,57.6,1,0,46,1430000,45,1,8,1,0.2135,0.1799,0.0197,0.2555,0.0328,0.1581,0.0655,0.075,4.5,3.2,6,9,5,1,3.5,4
36,2022,15,5.738,10.965,9,57.6,1,1,40,1680000,44,1,7,2,0.392,0.2195,0.0282,0.032,0.0966,0.0953,0.0811,0.0553,4.5,3.2,6,9,5,1,3.5,4
37,2022,21,6.022,4.03,7,56.1,1,1,39,1740000,41,1,11,4,0.126,0.0046,0.2185,0.1383,0.0222,0.0288,0.323,0.1386,4.5,3.2,6,9,5,1,3.5,4
38,2022,1,3.32,9.191,8,59.9,1,0,32,910000,25,1,9,2,0.2011,0.3125,0.0105,0.0877,0.0338,0.1657,0.1394,0.0493,4.5,3.2,6,9,5,1,3.5,4
39,2022,20,0.2,8.299,8,63,1,1,43,800000,43,0,3,2,0.3045,0.1093,0.0233,0.1049,0.0323,0.3419,0.0231,0.0607,4.5,3.2,6,9,5,1,3.5,4
40,2022,15,7.685,11.995,10,47.2,1,1,38,570000,27,1,5,1,0.2625,0.1163,0.0551,0.0782,0.3273,0.013,0.0397,0.1079,4.5,3.2,6,9,5,1,3.5,4
41,2022,22,2.014,13.053,7,42.3,0,0,53,950000,18,0,7,1,0.0401,0.8508,0.0032,0.0417,0.0175,0.021,0.0137,0.012,4.5,3.2,6,9,5,1,3.5,4
42,2022,14,8.077,10.339,7,61.5,0,1,47,710000,47,0,5,1,0.6003,0.1013,0.0092,0.0928,0.087,0.0147,0.0385,0.0562,4.5,3.2,6,9,5,1,3.5,4
43,2022,16,6.279,11.239,7,57.6,1,1,36,1740000,48,0,9,2,0.2173,0.5313,0.0164,0.0746,0.0341,0.0738,0.0314,0.0211,4.5,3.2,6,9,5,1,3.5,4
44,2022,18,3.392,13.089,9,52.6,1,1,40,1060000,52,0,8,1,0.0659,0.8129,0.0125,0.0301,0.0175,0.0263,0.008,0.0268,4.5,3.2,6,9,5,1,3.5,4
45,2022,1,0.903,8.019,7,60.3,1,1,46,1870000,49,1,10,3,0.1195,0.16,0.0146,0.2054,0.0167,0.126,0.2873,0.0705,4.5,3.2,6,9,5,1,3.5,4
46,2022,14,8.679,7.577,8,65,0,1,42,1410000,50,1,8,2,0.2723,0.0186,0.08,0.13,0.1512,0.0363,0.0918,0.2198,4.5,3.2,6,9,5,1,3.5,4
47,2022,6,3.557,13.904,10,38,0,0,51,420000,31,0,6,1,0.0716,0.8645,0.003,0.0198,0.0121,0.0086,0.0136,0.0068,4.5,3.2,6,9,5,1,3.5,4
48,2022,16,2.851,13.329,7,54.7,1,1,47,1890000,52,1,5,1,0.0875,0.8483,0.0029,0.0184,0.0078,0.0211,0.0112,0.0028,4.5,3.2,6,9,5,1,3.5,4
49,2022,22,0.2,12.321,7,50,1,1,43,940000,42,0,6,1,0.0821,0.781,0.0035,0.0417,0.0113,0.0342,0.0259,0.0203,4.5,3.2,6,9,5,1,3.5,4
50,2022,5,6.453,9.668,7,54.9,1,1,53,990000,45,0,11,2,0.2134,0.1706,0.0199,0.1522,0.091,0.1227,0.0814,0.1488,4.5,3.2,6,9,5,1,3.5,4
51,2022,17,8.517,6.187,8,53.6,0,1,48,2760000,54,1,12,4,0.3096,0.0118,0.0426,0.0712,0.1273,0.0734,0.1767,0.1874,4.5,3.2,6,9,5,1,3.5,4
52,2022,4,7.742,4.005,6,69.7,0,1,47,1160000,43,0,12,4,0.2084,0.0098,0.1047,0.0842,0.0919,0.0419,0.1443,0.3148,4.5,3.2,6,9,5,1,3.5,4
53,2022,2,6.366,9.089,9,91,1,1,44,3050000,48,0,15,3,0.5183,0.1048,0.0194,0.1188,0.0832,0.0564,0.022,0.0771,4.5,3.2,6,9,5,1,3.5,4
54,2022,11,6.006,11.061,6,45.3,0,0,43,1770000,35,0,10,3,0.5186,0.1288,0.0212,0.068,0.111,0.089,0.0382,0.0252,4.5,3.2,6,9,5,1,3.5,4
55,2022,8,9.635,4.725,9,70,1,1,43,2200000,34,0,10,3,0.3784,0.009,0.1732,0.0902,0.0468,0.0482,0.1421,0.1121,4.5,3.2,6,9,5,1,3.5,4
56,2022,14,7.056,13.963,5,48.5,0,0,43,1180000,28,0,5,1,0.2344,0.3353,0.0259,0.0303,0.2144,0.0591,0.0482,0.0524,4.5,3.2,6,9,5,1,3.5,4
57,2022,15,7.401,9.625,10,53.9,0,1,45,1170000,54,1,3,2,0.2901,0.1076,0.0549,0.1059,0.2134,0.028,0.0713,0.1288,4.5,3.2,6,9,5,1,3.5,4
58,2022,13,4.241,7.746,8,58.9,1,0,31,1120000,27,1,8,3,0.4261,0.0456,0.0253,0.1535,0.0461,0.1901,0.0537,0.0596,4.5,3.2,6,9,5,1,3.5,4
59,2022,5,6,11.437,6,61.4,1,1,51,1050000,31,0,4,1,0.2769,0.3143,0.0107,0.2715,0.0225,0.0399,0.0298,0.0344,4.5,3.2,6,9,5,1,3.5,4
60,2022,22,2.293,14.668,6,56,0,0,49,1250000,68,0,6,1,0.2385,0.6327,0.005,0.0324,0.0383,0.0227,0.0084,0.022,4.5,3.2,6,9,5,1,3.5,4
61,2022,8,8.857,6.52,8,61,1,1,39,1470000,18,1,11,3,0.2733,0.0277,0.1461,0.1323,0.0614,0.046,0.1433,0.1699,4.5,3.2,6,9,5,1,3.5,4
62,2022,22,4.018,14.8,6,51.8,0,1,50,1500000,28,1,8,1,0.1384,0.6792,0.0079,0.0339,0.0143,0.0764,0.0394,0.0105,4.5,3.2,6,9,5,1,3.5,4
63,2022,7,5.026,7.961,9,70.6,1,1,41,1110000,26,0,6,1,0.3544,0.0618,0.0439,0.1565,0.0298,0.2483,0.0416,0.0637,4.5,3.2,6,9,5,1,3.5,4
64,2022,8,5.418,3.258,8,54.8,0,0,45,2480000,45,0,8,4,0.0577,0.01,0.0727,0.0808,0.0183,0.0886,0.4848,0.1871,4.5,3.2,6,9,5,1,3.5,4
65,2022,3,9.58,10.686,7,66.3,1,1,42,3260000,40,0,9,2,0.2991,0.0837,0.1198,0.0331,0.2782,0.0601,0.0557,0.0703,4.5,3.2,6,9,5,1,3.5,4
66,2022,5,5.465,13.264,7,57.4,1,1,45,2150000,39,1,4,1,0.2299,0.5477,0.0131,0.0322,0.0301,0.0471,0.0514,0.0485,4.5,3.2,6,9,5,1,3.5,4
67,2022,14,6.522,11.461,8,57.5,1,1,47,2880000,55,0,11,3,0.4744,0.2689,0.0358,0.0508,0.0334,0.0518,0.053,0.0319,4.5,3.2,6,9,5,1,3.5,4
68,2022,3,8.028,9.174,6,53.7,1,1,50,760000,34,1,7,1,0.3262,0.0762,0.0414,0.1136,0.154,0.0703,0.142,0.0763,4.5,3.2,6,9,5,1,3.5,4
69,2022,5,7.335,10.562,8,69.2,1,1,48,1260000,58,1,9,1,0.418,0.166,0.0231,0.0654,0.1455,0.0515,0.0748,0.0557,4.5,3.2,6,9,5,1,3.5,4
70,2022,3,7.554,10.724,9,69.3,1,1,43,2230000,51,1,9,2,0.5859,0.0525,0.031,0.0478,0.1567,0.0502,0.0141,0.0618,4.5,3.2,6,9,5,1,3.5,4
71,2022,13,5.537,11.514,7,51.9,0,0,47,670000,18,1,7,1,0.446,0.1894,0.0462,0.0779,0.0441,0.1149,0.0179,0.0636,4.5,3.2,6,9,5,1,3.5,4
72,2022,16,2.949,14.399,6,51.2,0,0,51,1050000,26,1,8,1,0.0735,0.8729,0.0047,0.0158,0.0081,0.0123,0.0088,0.0039,4.5,3.2,6,9,5,1,3.5,4
73,2022,16,6.042,13.333,9,63.7,1,1,36,1440000,34,0,4,1,0.181,0.3976,0.0137,0.0548,0.206,0.0428,0.0526,0.0515,4.5,3.2,6,9,5,1,3.5,4
74,2022,21,4.367,5.128,10,83.8,1,1,35,1010000,32,1,18,4,0.156,0.0158,0.0403,0.1486,0.0155,0.1524,0.3111,0.1603,4.5,3.2,6,9,5,1,3.5,4
75,2022,11,7.483,10.281,8,54.3,0,1,42,990000,21,1,9,1,0.166,0.0886,0.0501,0.1945,0.3192,0.0569,0.0568,0.0679,4.5,3.2,6,9,5,1,3.5,4
76,2022,21,6.587,2.091,9,62.4,1,1,41,1050000,21,1,8,2,0.1266,0.0091,0.1826,0.1042,0.0179,0.0355,0.4181,0.106,4.5,3.2,6,9,5,1,3.5,4
77,2022,16,4.865,10.544,9,59.4,1,1,49,920000,41,1,3,1,0.2096,0.3246,0.0388,0.0388,0.0983,0.1028,0.127,0.0601,4.5,3.2,6,9,5,1,3.5,4
78,2022,7,3.548,10.126,9,61.1,1,1,40,1950000,32,1,10,2,0.2453,0.1578,0.018,0.1032,0.1067,0.1802,0.1082,0.0806,4.5,3.2,6,9,5,1,3.5,4
79,2022,13,7.23,12.27,8,57,1,1,34,1110000,18,0,3,1,0.1782,0.4904,0.0242,0.0338,0.1491,0.054,0.04,0.0303,4.5,3.2,6,9,5,1,3.5,4
80,2022,22,4.987,12.838,9,64.5,1,1,43,640000,33,1,12,2,0.1319,0.4613,0.0196,0.071,0.0779,0.0909,0.0649,0.0825,4.5,3.2,6,9,5,1,3.5,4
81,2022,13,3.846,10.503,6,31,0,0,55,960000,40,1,4,1,0.4971,0.2975,0.008,0.0462,0.0357,0.0363,0.0504,0.0288,4.5,3.2,6,9,5,1,3.5,4
82,2022,2,8.3,7.009,7,52.9,0,1,38,1040000,33,0,10,3,0.4347,0.0219,0.0515,0.0963,0.1379,0.0192,0.0844,0.1541,4.5,3.2,6,9,5,1,3.5,4
83,2022,6,4.42,14.65,5,42.7,0,1,55,420000,31,1,4,1,0.1838,0.7077,0.0066,0.0205,0.0207,0.0355,0.0105,0.0147,4.5,3.2,6,9,5,1,3.5,4
84,2022,19,6.981,12.722,7,59.6,1,1,37,910000,38,0,5,1,0.1116,0.4538,0.0215,0.0352,0.0708,0.2188,0.0623,0.026,4.5,3.2,6,9,5,1,3.5,4
85,2022,20,3.605,10.663,7,45.9,1,0,51,900000,20,0,5,2,0.3282,0.4109,0.0069,0.0521,0.0515,0.0563,0.0198,0.0743,4.5,3.2,6,9,5,1,3.5,4
86,2022,22,0.2,13.967,7,50.9,1,0,39,780000,51,1,6,1,0.2125,0.5168,0.0132,0.0821,0.0197,0.1099,0.0211,0.0247,4.5,3.2,6,9,5,1,3.5,4
87,2022,4,7.255,7.507,8,65.4,1,1,34,1120000,45,1,11,3,0.4028,0.0468,0.0405,0.2303,0.0542,0.0482,0.1252,0.052,4.5,3.2,6,9,5,1,3.5,4
88,2022,10,2.975,6.926,7,57,1,1,43,2710000,47,1,10,2,0.1768,0.0495,0.0656,0.121,0.0198,0.3785,0.0738,0.115,4.5,3.2,6,9,5,1,3.5,4
89,2022,3,7.58,9.065,7,58.4,0,1,43,1340000,32,1,7,1,0.5779,0.0378,0.0165,0.0582,0.1297,0.0413,0.063,0.0756,4.5,3.2,6,9,5,1,3.5,4
90,2022,4,8.63,7.615,9,61.9,1,1,40,1680000,52,1,5,2,0.2315,0.0653,0.0334,0.2377,0.2756,0.0432,0.0945,0.0188,4.5,3.2,6,9,5,1,3.5,4
91,2022,7,7.904,9.564,6,67,1,1,43,2260000,40,1,10,2,0.4684,0.05,0.027,0.0723,0.1812,0.0462,0.0739,0.081,4.5,3.2,6,9,5,1,3.5,4
92,2022,20,2.543,10.545,10,70.3,1,1,55,1160000,39,1,7,1,0.3066,0.1059,0.0478,0.16,0.0498,0.0792,0.1067,0.144,4.5,3.2,6,9,5,1,3.5,4
93,2022,11,7.552,9.46,8,65.1,1,1,42,1460000,43,1,6,1,0.2254,0.1475,0.0545,0.0804,0.1847,0.0233,0.1619,0.1223,4.5,3.2,6,9,5,1,3.5,4
94,2022,21,4.979,5.959,8,72.7,1,1,47,2930000,65,1,15,4,0.1426,0.0472,0.0326,0.1014,0.058,0.0634,0.0835,0.4713,4.5,3.2,6,9,5,1,3.5,4
95,2022,2,7.937,6.199,9,79.1,1,1,36,2380000,33,0,8,4,0.3033,0.0211,0.0693,0.1843,0.0642,0.0405,0.1719,0.1454,4.5,3.2,6,9,5,1,3.5,4
96,2022,20,1.359,9.896,6,49.8,1,1,42,1140000,38,0,5,1,0.1907,0.4892,0.0052,0.0633,0.0566,0.103,0.041,0.051,4.5,3.2,6,9,5,1,3.5,4
97,2022,7,5.769,10.401,7,48.8,1,0,46,640000,33,1,7,1,0.3875,0.1039,0.0245,0.0672,0.1547,0.0506,0.1443,0.0673,4.5,3.2,6,9,5,1,3.5,4
98,2022,12,5.795,3.453,6,56.9,0,1,39,2820000,21,1,9,3,0.194,0.0051,0.0543,0.0885,0.0225,0.0617,0.4581,0.1158,4.5,3.2,6,9,5,1,3.5,4
99,2022,20,1.229,7.406,6,40.4,0,0,51,830000,41,0,5,1,0.0777,0.0476,0.0311,0.0861,0.0182,0.4364,0.2322,0.0707,4.5,3.2,6,9,5,1,3.5,4
100,2022,8,7.36,3.643,6,55.9,0,0,47,1780000,35,0,11,4,0.0823,0.0069,0.1759,0.1099,0.1435,0.0894,0.3235,0.0686,4.5,3.2,6,9,5,1,3.5,4
101,2022,15,3.565,9.196,7,54.6,1,1,48,1180000,35,0,8,2,0.2196,0.2373,0.0365,0.1238,0.0822,0.2068,0.0449,0.0489,4.5,3.2,6,9,5,1,3.5,4
102,2022,8,9.614,4.701,9,48.9,1,0,45,1680000,38,1,6,2,0.1372,0.0124,0.2866,0.0358,0.0622,0.0195,0.2975,0.1488,4.5,3.2,6,9,5,1,3.5,4
103,2022,21,7.759,3.009,8,57.6,1,1,53,790000,25,1,9,4,0.1704,0.0184,0.2316,0.0808,0.0634,0.037,0.2949,0.1035,4.5,3.2,6,9,5,1,3.5,4
104,2022,7,8.291,7.706,8,57.9,1,1,44,1050000,39,1,7,3,0.4499,0.0112,0.0314,0.1545,0.1782,0.0154,0.0344,0.125,4.5,3.2,6,9,5,1,3.5,4
105,2022,20,3.62,7.033,7,59.6,0,0,52,1010000,42,0,6,2,0.2895,0.0517,0.0215,0.1278,0.0637,0.243,0.0543,0.1485,4.5,3.2,6,9,5,1,3.5,4
106,2022,10,0.803,2.685,8,53.1,0,0,40,1210000,42,0,12,3,0.1292,0.0107,0.0318,0.2041,0.006,0.4042,0.0745,0.1395,4.5,3.2,6,9,5,1,3.5,4
107,2022,1,4.205,9.497,7,61.5,1,1,43,680000,66,1,6,2,0.3972,0.1612,0.0153,0.0554,0.0765,0.1245,0.115,0.0549,4.5,3.2,6,9,5,1,3.5,4
108,2022,6,0.318,11.307,8,58.7,0,0,41,1800000,29,1,8,1,0.3835,0.2036,0.0267,0.1039,0.0229,0.1658,0.0469,0.0467,4.5,3.2,6,9,5,1,3.5,4
109,2022,21,5.884,4.732,9,54.4,0,0,44,1340000,35,0,7,4,0.0909,0.0108,0.0854,0.1644,0.0144,0.1272,0.2774,0.2295,4.5,3.2,6,9,5,1,3.5,4
110,2022,8,6.762,6.455,9,46,1,1,35,900000,34,1,5,1,0.5071,0.0081,0.078,0.0534,0.046,0.0966,0.0747,0.1361,4.5,3.2,6,9,5,1,3.5,4
111,2022,8,8.395,7.432,8,71.6,1,1,49,460000,26,0,9,4,0.2668,0.0296,0.0644,0.0435,0.2096,0.0514,0.2116,0.1231,4.5,3.2,6,9,5,1,3.5,4
112,2022,18,3.394,13.555,7,56.1,1,1,46,1420000,58,0,8,1,0.0676,0.8456,0.0041,0.0132,0.018,0.0355,0.0098,0.0062,4.5,3.2,6,9,5,1,3.5,4
113,2022,20,3.034,8.021,8,49.9,1,1,50,2270000,18,1,14,4,0.2627,0.037,0.0133,0.3692,0.0449,0.1065,0.1203,0.0461,4.5,3.2,6,9,5,1,3.5,4
114,2022,22,2.948,12.685,8,52.9,0,1,49,1430000,18,1,8,1,0.195,0.6462,0.0147,0.0495,0.0267,0.0207,0.0264,0.0208,4.5,3.2,6,9,5,1,3.5,4
115,2022,7,4.666,7.683,8,66.3,1,1,44,1450000,39,0,9,4,0.4613,0.0246,0.0161,0.2476,0.0556,0.0593,0.0603,0.0752,4.5,3.2,6,9,5,1,3.5,4
116,2022,7,5.556,8.43,8,69.8,0,0,43,2290000,49,0,9,3,0.3426,0.0567,0.0326,0.2514,0.0411,0.0795,0.1388,0.0573,4.5,3.2,6,9,5,1,3.5,4
117,2022,10,1.83,3.141,8,60.9,0,1,42,1940000,18,1,10,3,0.1705,0.0151,0.0397,0.1698,0.0206,0.2269,0.241,0.1164,4.5,3.2,6,9,5,1,3.5,4
118,2022,21,4.934,5.65,9,55.6,1,1,50,2420000,52,1,8,3,0.1017,0.0135,0.0255,0.1861,0.0795,0.179,0.1914,0.2233,4.5,3.2,6,9,5,1,3.5,4
119,2022,5,6.798,10.928,8,69.7,1,1,41,990000,32,1,6,2,0.2929,0.1437,0.0139,0.0443,0.2918,0.0911,0.0408,0.0815,4.5,3.2,6,9,5,1,3.5,4
120,2022,4,5.852,5.768,8,67.8,1,1,29,1590000,19,0,15,4,0.2441,0.0229,0.1032,0.0511,0.0276,0.0388,0.1695,0.3428,4.5,3.2,6,9,5,1,3.5,4
121,2022,10,1.669,2.565,8,63.3,1,1,51,2830000,42,1,10,3,0.1111,0.0279,0.0601,0.1716,0.0223,0.1879,0.2833,0.1358,4.5,3.2,6,9,5,1,3.5,4
122,2022,17,4.626,6.694,6,50.4,1,0,49,1530000,56,1,6,3,0.5056,0.0465,0.0134,0.1217,0.0132,0.0552,0.0773,0.1671,4.5,3.2,6,9,5,1,3.5,4
123,2022,22,2.828,14.8,7,48,0,0,37,1020000,62,0,8,1,0.0313,0.8009,0.0096,0.0272,0.0799,0.019,0.0201,0.012,4.5,3.2,6,9,5,1,3.5,4
124,2022,6,2.775,10.629,6,58.7,1,1,40,1140000,39,1,9,2,0.1673,0.3343,0.0114,0.1403,0.0702,0.1251,0.1228,0.0286,4.5,3.2,6,9,5,1,3.5,4
125,2022,7,4.075,11.52,8,40.4,0,0,51,620000,44,1,5,1,0.2112,0.5759,0.0108,0.0573,0.0291,0.0545,0.0268,0.0344,4.5,3.2,6,9,5,1,3.5,4
126,2022,3,6.41,11.105,6,46.6,0,1,47,1280000,47,1,8,1,0.3509,0.3058,0.0148,0.0626,0.1282,0.0378,0.0616,0.0383,4.5,3.2,6,9,5,1,3.5,4
127,2022,18,3.315,11.602,5,58.8,1,0,40,850000,45,0,3,1,0.3978,0.4533,0.01,0.0225,0.031,0.0296,0.0273,0.0285,4.5,3.2,6,9,5,1,3.5,4
128,2022,5,9.167,12.393,7,60.2,1,1,48,1080000,32,0,7,1,0.2494,0.3377,0.0582,0.0232,0.2224,0.0169,0.0463,0.0459,4.5,3.2,6,9,5,1,3.5,4
129,2022,16,6.317,13.247,8,70.5,1,1,42,1470000,22,0,3,1,0.2025,0.5204,0.0082,0.1047,0.0327,0.023,0.0366,0.0719,4.5,3.2,6,9,5,1,3.5,4
130,2022,1,5.807,7.509,7,48.1,0,0,42,1410000,42,0,11,4,0.5504,0.0098,0.036,0.0684,0.0316,0.1604,0.0397,0.1037,4.5,3.2,6,9,5,1,3.5,4
131,2022,7,8.803,7.7,9,49.8,0,0,47,490000,38,1,8,3,0.2387,0.027,0.0764,0.0498,0.202,0.0361,0.2525,0.1175,4.5,3.2,6,9,5,1,3.5,4
132,2022,20,1.718,8.511,8,40.1,0,1,37,730000,35,0,1,1,0.3941,0.0718,0.0184,0.0715,0.0233,0.3169,0.0601,0.0439,4.5,3.2,6,9,5,1,3.5,4
133,2022,8,7.175,4.899,9,81,1,1,49,2850000,37,0,16,4,0.1274,0.0126,0.0578,0.1017,0.0278,0.066,0.38,0.2267,4.5,3.2,6,9,5,1,3.5,4
134,2022,20,0.696,9.664,9,58.7,1,1,48,580000,38,0,6,1,0.3139,0.2901,0.0128,0.076,0.0331,0.1155,0.1094,0.0492,4.5,3.2,6,9,5,1,3.5,4
135,2022,1,2.662,9.964,4,67.8,1,1,49,1650000,28,0,11,2,0.2617,0.2159,0.0221,0.2114,0.0464,0.1175,0.0671,0.0579,4.5,3.2,6,9,5,1,3.5,4
136,2022,14,6.355,13.523,7,41.7,0,0,56,1500000,28,1,6,1,0.0406,0.7486,0.0261,0.0189,0.0751,0.0422,0.0314,0.0171,4.5,3.2,6,9,5,1,3.5,4
